Customer Name,RUID,Balance,Load Size,Dryer Heat,idCard,RUExpress
Vishal Saravanan,224819637,1000.80,MEDIUM,MEDIUM,FALSE,TRUE
Mary Buist,223719864,19.90,LARGE,LOW,FALSE,TRUE
Isha Gajera,224178369,170.50,MEDIUM,MEDIUM,TRUE,FALSE
Colin Sullivan,222587439,3.05,SMALL,HIGH,FALSE,TRUE
Professor Centeno,222976548,75.75,SMALL,HIGH,FALSE,TRUE
Professor Goel,222369587,7.50,SMALL,HIGH,TRUE,FALSE
Allie Domanski,223458769,1000.50,LARGE,LOW,TRUE,FALSE
Helly Riggs,223896174,8.60,LARGE,LOW,TRUE,FALSE
Dylan George,224637589,14.50,MEDIUM,MEDIUM,FALSE,TRUE
Irving Bailiff,222489617,5.75,SMALL,HIGH,TRUE,FALSE
Harmony Cobel,223000188,30.00,MEDIUM,LOW,TRUE,FALSE
Seth Milchick,224315792,3.75,SMALL,HIGH,TRUE,FALSE
Burt Goodman,222846501,19.50,LARGE,LOW,FALSE,TRUE
Gemma Scout,223970184,1.25,SMALL,MEDIUM,TRUE,FALSE
Ricken Hale,224703628,12.80,MEDIUM,HIGH,FALSE,TRUE
Natalie Kalen,222159437,0.50,LARGE,LOW,TRUE,FALSE
Kier Eagan,223584016,2.50,SMALL,MEDIUM,FALSE,TRUE
Mark Scout,224237965,18.25,MEDIUM,HIGH,TRUE,FALSE
Devon Scout-Hale,222678324,3.20,LARGE,LOW,FALSE,TRUE
Gretchen George,222000324,35.00,MEDIUM,HIGH,TRUE,TRUE
